month,ticker,proba,volume_score,volatility_score,composite,weight,exec_open,exec_close
2020-01,KQ,0.6899480306251997,0.012720871122643395,0.6402182715878919,0.48180690687070205,0.15801930545943046,2.2,2.3
2020-01,CARB,0.6504308933745042,0.07712778513116322,0.6583198340664603,0.4792288549706975,0.15717377592287193,8.3,8.68
2020-01,SBIC,0.6783336649627505,0.0019233425595493083,0.6138745244892916,0.4689646541944442,0.15380740268365442,108.0,114.0
2020-01,DTK,0.6496020958682547,0.009405145116196117,0.5093392548727765,0.4435167265430893,0.14546118805803454,111.0,112.0
2020-01,SCAN,0.5422948505955225,0.02047275760113722,0.6442501628935585,0.39594375392701053,0.12985857218799957,10.67142857,10.52321429
2020-01,SASN,0.5571880008763046,0.0005006518965614715,0.5921954342059146,0.3936825395153427,0.12911695656204822,16.15,18.450001
2020-01,EABL,0.5446487293476951,0.02674553536822976,0.5108191757247396,0.38589481579155993,0.12656279912596077,196.0,212.5
2020-02,TCL,0.60661628403433,0.0008196871196226418,0.7736665702794269,0.4415823335844275,1.0,2.2,2.3
2020-03,SASN,0.668253449334206,0.0007729612278368747,0.6044662855374228,0.46163058652261696,0.5,16.1,16.5
2020-03,UCHM,0.5069028343444159,0.008506852876325134,0.9111533920950974,0.3978090956790568,0.5,0.29,0.3
2020-04,SCOM,0.7051758214743593,1.0,0.5651783448456593,0.7796233273691815,0.06984524010522987,26.950001,28.9
2020-04,EQTY,0.8857422520774899,0.18149589868142765,0.48970089889660656,0.634864210740583,0.0568764962216113,34.0,39.0
2020-04,KCB,0.8773203538390633,0.1958000447682823,0.4926058218263475,0.6343928079165574,0.05683426397653282,35.0,37.5
2020-04,HAFR,0.7910456084498049,0.007786595455810149,0.9089261781027393,0.5678559615168999,0.050873331498651475,0.34,0.36
2020-04,UMME,0.817761980719629,0.001139342324645358,0.6754737324931634,0.5585463643784874,0.05003929918511159,6.2,6.88
2020-04,KNRE,0.7644151542083861,0.03738256170805641,0.7731613698571896,0.5471799980231675,0.04902100411960826,2.4,2.55
2020-04,KPLC,0.7765247612089563,0.017634310076838272,0.7466435400165069,0.5458695037500759,0.048903598977987524,1.8,2.12
2020-04,BRIT,0.781384662142381,0.0038725087183091814,0.6188609899502954,0.5318786488959508,0.04765018007393637,6.5,6.9
2020-04,EABL,0.7938284700316356,0.022267252001497855,0.43812628793783825,0.5267898864132146,0.047194285765790704,150.0,175.0
2020-04,CTUM,0.7726251630869373,0.005243014369781828,0.5730082467167261,0.5224488268347695,0.046805376996743524,23.5,26.25
2020-04,NCBA,0.7454794973766052,0.005895318576535981,0.5478226838995778,0.5038385623888817,0.04513811237931459,25.909065,26.272701
2020-04,TPSE,0.7455022514438132,0.000968584799285381,0.5268999601881144,0.500281922324885,0.0448194785333059,12.6,14.5
2020-04,ABSA,0.7030036205385627,0.033026545081032685,0.6138745244892916,0.49309758829637657,0.04417584523296505,10.5,10.6
2020-04,CABL,0.6651732508001582,0.0003328856505103375,0.7550080918590543,0.47470462536115343,0.042528048319560335,1.6,1.74
2020-04,SCBK,0.686647658444347,0.000980299863812375,0.5050179258440947,0.4627844776101614,0.04146014084099972,163.6362,187.0
2020-04,SCAN,0.6548200437459681,0.006339612398722222,0.6386219880142454,0.45865610876862206,0.04109028670393422,9.18928571,9.45607143
2020-04,TOTL,0.6327787004543288,0.00023116332682728856,0.5683931786932785,0.4365758871399733,0.03911215402487013,24.950001,26.0
2020-04,SBIC,0.5914590774737123,0.018166456423097922,0.46287887778994263,0.406613271190151,0.03642784991065379,95.0,91.0
2020-04,CARB,0.5580099278804798,0.001509360545754649,0.6848267999686216,0.4037414448888764,0.036170567463462394,8.5,9.26
2020-04,LBTY,0.5066818065562912,0.00037027971808534005,0.6625277070149607,0.3703729385506964,0.03318113493197604,9.0,8.36
2020-04,DTK,0.5230773879352775,0.0018822552336004786,0.4822932841565693,0.3626404377469035,0.03248839222367705,88.0,83.0
